DATE,CFNAI
2011-05-01,-200.00000
2011-06-01,0.00000
2011-07-01,94.11765
2011-08-01,-11.76471
2011-09-01,-152.94118
2011-10-01,94.11765
2011-11-01,-211.76471
2011-12-01,158.82353
2012-01-01,205.88235
2012-02-01,0.00000
2012-03-01,-241.17647
2012-04-01,29.41176
2012-05-01,-100.00000
2012-06-01,-194.11765
2012-07-01,-170.58824
2012-08-01,-264.70588
2012-09-01,-58.82353
2012-10-01,-158.82353
2012-11-01,164.70588
2012-12-01,94.11765
2013-01-01,-205.88235
2013-02-01,141.17647
2013-03-01,-158.82353
2013-04-01,-182.35294
2013-05-01,88.23529
2013-06-01,-88.23529
2013-07-01,-311.76471
2013-08-01,176.47059
2013-09-01,64.70588
2013-10-01,-5.88235
2013-11-01,176.47059
2013-12-01,-88.23529
2014-01-01,-423.52941
2014-02-01,258.82353
2014-03-01,282.35294
2014-04-01,23.52941
2014-05-01,64.70588
2014-06-01,76.47059
2014-07-01,176.47059
2014-08-01,-135.29412
2014-09-01,11.76471
2014-10-01,23.52941
2014-11-01,147.05882
2014-12-01,47.05882
2015-01-01,-152.94118
2015-02-01,-276.47059
2015-03-01,-5.88235
2015-04-01,-5.88235
2015-05-01,-205.88235
2015-06-01,-76.47059
2015-07-01,194.11765
2015-08-01,-158.82353
2015-09-01,-76.47059
2015-10-01,-152.94118
2015-11-01,-205.88235
2015-12-01,-170.58824
2016-01-01,41.17647
2016-02-01,-129.41176
2016-03-01,-205.88235
2016-04-01,-64.70588
2016-05-01,-205.88235
2016-06-01,70.58824
2016-07-01,23.52941
2016-08-01,-111.76471
2016-09-01,-52.94118
2016-10-01,-29.41176
2016-11-01,-123.52941
2016-12-01,235.29412
2017-01-01,-64.70588
2017-02-01,-52.94118
2017-03-01,5.88235
2017-04-01,194.11765
2017-05-01,-5.88235
2017-06-01,94.11765
2017-07-01,-100.00000
2017-08-01,-5.88235
2017-09-01,105.88235
2017-10-01,311.76471
2017-11-01,135.29412
2017-12-01,123.52941
2018-01-01,-135.29412
2018-02-01,270.58824
2018-03-01,52.94118
2018-04-01,229.41176
2018-05-01,-94.11765
2018-06-01,135.29412
2018-07-01,11.76471
2018-08-01,176.47059
2018-09-01,0.00000
2018-10-01,-141.17647
2018-11-01,0.00000
2018-12-01,-82.35294
2019-01-01,-200.00000
2019-02-01,-247.05882
2019-03-01,-52.94118
2019-04-01,-305.88235
2019-05-01,5.88235
2019-06-01,47.05882
2019-07-01,-229.41176
2019-08-01,111.76471
2019-09-01,-247.05882
